location,item,UPC,Quantity
UC,100-S6TKO-P4932P-BLACK-PS,198895361785,1
UC,100-S6TKO-P4932P-DOVE-PL,198895361846,29
UC,100-S6TKO-P4932P-DOVE-PM,198895361839,28
UC,100-S6TKO-P4932P-INK-PP,198895361853,5
UC,100-S6TUP-C2180M-DKIND-1X,198895229627,2
UC,100-S6TUP-C2180M-DKIND-2X,198895229634,1
UC,100-S6TUP-C2180M-DKIND-S,198895229580,3
UC,100-S6TUP-C2180M-DKIND-XXS,198895229566,3
UC,100-S6TUP-C2180P-DKIND-PL,198895269128,1
UC,100-S6TUP-P4701M-DKIND-2X,198895229726,3
UC,100-S6TUP-P4701M-DKIND-L,198895229696,4
UC,100-S6TUP-P4701M-DKIND-XL,198895229702,4
UC,100-S6TUP-P4701M-DKIND-XS,198895229665,9
UC,100-S6TUP-P4701P-DKIND-PL,198895269166,1
UC,100-S6TUP-T6268M-DKIND-1X,198895229801,1
UC,100-S6TUP-T6268M-DKIND-L,198895229788,1
UC,100-S6TUP-T6268M-DKIND-XS,198895229757,3
UC,100-S6TUP-T6268M-DKIND-XXS,198895229740,3
UC,100-S6ULO-P4850M-BLACK-S,198895231040,2
UC,100-S6ULO-P4850M-BLACK-XS,198895231033,1
UC,100-S6ULO-P4850M-EUCLY-XXS,198895231118,2
UC,100-S6WZK-J5558P-INK-PM,198895286873,1
UC,100-S6WZK-J5558P-INK-PP,198895286859,2
UC,100-S6WZK-P4885M-INK-2X,198895232931,1
UC,100-S6WZK-P4885M-INK-S,198895232887,3
UC,100-S6XJU-T6189M-BLACK-XXS,198895232955,2
UC,100-S6XJU-T6189M-EUCLY-XXS,198895233136,5
UC,100-S6XJU-U4395M-INK-3X,198895234027,1
UC,100-S6XJU-U4395M-INK-L,198895233983,1
UC,100-S6YCN-T5775P-WHTBL-PP,198895482497,1
UC,100-S6YCN-T6450M-WHEAT-S,198895407728,1
UC,100-S6YCN-T6450M-WHEAT-XS,198895407711,1
UB,100-AAAN-H0584M-BLKGY-OS,190428629096,1
UB,100-AAAN-H0584M-WHNAT-OS,190428625623,2
UB,100-AAAU-C1850M-BARK-XS,190428977524,1
UB,100-AAAZ-J5025M-INDGO-XS,672178096354,1
UB,100-AAAZ-P4118M-BLACK-M,672178096422,1
UB,100-AAAZ-P4118M-BLACK-XS,672178096408,1
UB,100-AAAZ-P4118M-INDGO-L,672178096484,1
UB,100-AABS-H7003M-CHAR-OS,193481118279,6
UB,100-AABS-H7003M-RED-OS,193481118293,32
UB,100-AABT-HG737M-CHAR-OS,193481118491,2
UB,100-AABW-C2011M-NAVY-S/M,193481258371,1
UB,100-AACE-H7003M-RED-OS,193481263955,1
UB,100-AACX-H0710M-INDGO-OS,193481993678,32
UB,100-AACZ-T5694M-WHITE-L,193481492768,1
UB,100-AACZ-T5695M-WHITE-L,193481492782,1
UB,100-AADD-HG742M-CHAR-OS,193481585576,4
UB,100-AADD-HG742M-GREY-OS,197223381549,7
UB,100-AADD-HG742M-WHASH-OS,197223228332,24
UB,100-AADD-HG743M-GREY-OS,197223462835,7
UB,100-AADD-HG743M-RED-OS,193481585675,2
UB,100-AADD-HG743M-STONE-OS,196124519624,11
UB,100-AADD-HG743M-WHASH-OS,197223228851,12
UB,100-AADD-HG763M-GREY-OS,197223462859,8
UB,100-AADD-HG763M-WHASH-OS,197223212850,23
UB,100-AADF-H0690M-BONE-OS,197223228899,108
UB,100-AADF-H0690M-CASIS-OS,197223462811,43
UB,100-AADF-H0690M-CHAR-OS,193481585811,34
UB,100-AADF-H0690M-COFFE-OS,196124619690,82
UB,100-AADF-H0690M-NOCTN-OS,197223462750,41
UB,100-AADF-H0690M-RED-OS,193481585859,1
UB,100-AADF-H0691M-BONE-OS,197223228875,100
UB,100-AADF-H0691M-CHAR-OS,193481585873,28
UB,100-AADF-H0691M-COFFE-OS,196124619676,62
UB,100-AADF-H0740M-CHAR-OS,197223205487,65
UB,100-AADF-H0766M-CHAR-OS,197223388418,2
UB,100-AADF-H689M-RED-OS,193481585972,12
UB,100-AADH-H0690M-TERAC-OS,193481812214,1
UB,100-AADV-H0733M-CITRS-OS,196124490350,18
UB,100-AADV-H0734M-CITRS-OS,196124490398,67
UB,100-AADV-H0734M-STONE-OS,196124490411,16
UB,100-AAEB-HG767M-BONE-OS,197223245780,1
UB,100-AAEB-HG779M-IVORY-OS,197223381624,1
UB,100-AAEB-HG780M-IVORY-OS,197223381648,1
UB,100-AAEB-HG781M-IVORY-OS,197223381662,1
UB,100-AAEB-HG783M-IVORY-OS,197223381709,1
UB,100-AAEB-HG788M-IVORY-OS,197223381808,1
UB,100-AAEB-HG789M-IVORY-OS,197223381822,1
UB,100-AAEB-HG790M-IVORY-OS,197223381846,1
UB,100-AAEB-HG806M-IVORY-OS,197223692300,1
UB,100-AAEB-HG809M-IVORY-OS,197223692362,1
UB,100-AAEB-HG811M-IVORY-OS,197223692409,1
UB,100-AAEB-HG812M-IVORY-OS,197223692423,1
UB,100-AAEB-HG815M-IVORY-OS,197223692485,1
UB,100-AAEB-HG816M-IVORY-OS,197223692508,1
UB,100-AAEB-HG817M-IVORY-OS,197223692522,1
UB,100-AAEB-HG818M-IVORY-OS,197223692546,1
UB,100-AAEB-HG819M-IVORY-OS,197223692560,1
UB,100-AAEB-HG821M-IVORY-OS,197223692607,1
UB,100-ACUUL-B0150M-BLACK-M,886884195236,1
UB,100-EEGT1-A1235M-BLACK-OS,193481134729,67
UB,100-EEGT1-A1235M-BONE-OS,193481134743,1
UB,100-EETK-P0547M-BLACK-XL,713259282737,1
UB,100-F1MPW-A2100M-BLACK-OS,193481868709,108
UB,100-F1MPW-A2100M-PEARL-OS,193481924849,116
UB,100-F2MPW-A2100M-BLACK-OS,196124546163,9
UB,100-F2MPW-G0432M-BLACK-OS,196124596618,7
UB,100-F3CYX-G0450M-ROSBY-OS,197223148937,3
UB,100-F3DGZ-L0327M-BLACK-OS,197223223092,1
UB,100-F3LRH-B0321M-BLACK-XS,197223488774,2
UB,100-F3LRH-B0321M-BLACK-XXS,197223488767,14
UB,100-F3MPW-A2100M-BLACK-OS,197223150084,224
UB,100-F3MPW-X0448M-PEARL-OS,197223208358,8
UB,100-F3ODK-A2269M-SUNBM-OS,197223104865,2
UB,100-F4ANA-N1281M-PEARL-OS,197223571742,1
